-50,-55,-50,-63,1
-46,-40,-62,-49,1
-51,-39,-50,-53,1
-54,-39,0,-55,1
-60,-37,-38,-54,1
0,-40,-34,-71,1
-57,-42,-37,-55,1
-60,-50,-33,-49,1
-57,-43,-34,-69,1
-55,-48,-31,-65,1
-59,-49,-32,-62,1
-52,-42,-29,-54,1
-56,-48,-33,-56,1
-59,-50,-25,-56,1
-59,-46,-25,-60,1
-51,-43,-31,-64,1
-52,-44,-30,-62,1
-54,-44,-33,-57,1
-58,-41,-32,-52,1
-55,-56,-34,-54,1
-80,-42,-34,-61,1
0,-43,-31,-58,1
-60,-49,-26,-70,1
-60,-52,-28,-56,1
-61,-51,-29,-57,1
-60,-51,-28,-59,1
-60,-56,-29,-74,1
-57,-54,-28,-60,1
-51,-45,-28,-66,1
-58,-60,-29,-63,1
0,-55,-30,-59,1
0,-48,-27,-60,1
-55,-54,-27,-65,1
-52,-48,-28,-66,1
0,-42,-29,-68,1
-63,-46,-38,-56,1
0,-41,-34,-57,1
-57,-40,-37,-55,1
-56,-49,-39,-56,1
-58,-43,-45,-52,1
-59,-44,-47,-49,1
-58,-39,-47,-54,1
-55,-48,-53,-62,1
0,-46,-49,-55,1
-59,-46,-55,-63,1
-52,-44,-55,-54,1
-53,-47,0,-55,1
-51,-47,-54,-50,1
0,-42,-56,-51,1
-50,-43,-55,-55,1
-49,-46,-57,-50,1
-51,-40,-50,-65,1
-50,-38,-44,-50,1
-54,-42,-39,-50,1
-51,-39,-39,-51,1
-59,-39,-42,-51,1
0,-44,-37,-50,1
-64,-40,-35,-51,1
-63,-39,-36,-51,1
0,-37,-34,-51,1
-73,-49,-37,-58,1
-63,-40,-35,-54,1
-63,-39,-37,-50,1
-65,-40,-37,-70,1
-55,-45,-31,-54,1
-52,-49,-27,-63,1
-68,-44,-31,-60,1
-55,-51,-34,-70,1
-54,-42,-34,-55,1
-58,-47,-39,-51,1
-64,-43,-35,-54,1
-56,-44,-36,-57,1
-61,-48,-38,-59,1
-62,-39,-29,-58,1
-59,-37,-34,-65,1
-57,-40,-36,-53,1
-58,-40,-40,-52,1
-60,-39,-34,-53,1
-58,-41,-33,-52,1
-59,-38,-33,-52,1
-58,-41,-33,-53,1
-58,-41,-32,-52,1
-64,-40,-34,-54,1
-56,-48,-36,-54,1
-60,-38,-38,-51,1
-64,-37,-35,-57,1
-64,-38,-36,-63,1
-62,-44,-38,-54,1
-69,-39,-36,-54,1
-62,-50,-35,-51,1
-58,-44,-33,-61,1
0,-39,-37,-57,1
-63,-43,-36,-61,1
-54,-45,-43,-57,1
-66,-47,-52,-54,1
-50,-48,-55,-53,1
-49,-41,-56,-51,1
-50,-38,-38,-53,1
-52,-38,-38,-57,1
-51,-44,-39,-58,1
-47,-38,-39,-59,1
-48,-40,-40,-60,1
-52,-41,-45,-55,1
0,-38,-42,-55,1
-49,-38,-40,-60,1
-46,-39,-39,-59,1
-50,-45,-38,-53,1
-66,-36,-41,-53,1
-55,-38,-41,-57,1
-64,-42,-40,-59,1
